
2012.09.26 21:42

EURCAD, SELL, Diff: 0.00011230, iStochastic Main: 42.89185905, iStochastic Signal: 62.90953158

USDCHF, val2: 0.00000, val3: 0.00000, val4: 0.00000, val5: 0.00000, Bid: 0.94051, Ask: 0.94076, Spread: 25.00000000
EURCAD, val2: 1.27181, val3: 1.27170, val4: 1.27181, val5: 1.27182, Bid: 1.26565, Ask: 1.26602, Spread: 37.00000000
NZDJPY, val2: 65.274, val3: 65.339, val4: 65.226, val5: 65.322, Bid: 64.065, Ask: 64.099, Spread: 34.00000000
NZDUSD, val2: 0.00000, val3: 0.00000, val4: 0.00000, val5: 0.00000, Bid: 0.82387, Ask: 0.82417, Spread: 30.00000000
GBPCAD, val2: 0.00000, val3: 0.00000, val4: 0.00000, val5: 0.00000, Bid: 1.58994, Ask: 1.59040, Spread: 46.00000000
GBPNZD, val2: 0.00000, val3: 0.00000, val4: 0.00000, val5: 0.00000, Bid: 1.95966, Ask: 1.96043, Spread: 77.00000000
GBPAUD, val2: 0.00000, val3: 0.00000, val4: 0.00000, val5: 0.00000, Bid: 1.55902, Ask: 1.55948, Spread: 46.00000000
NZDCHF, val2: 0.00000, val3: 0.00000, val4: 0.00000, val5: 0.00000, Bid: 0.77488, Ask: 0.77529, Spread: 41.00000000
NZDCAD, val2: 0.00000, val3: 0.00000, val4: 0.00000, val5: 0.00000, Bid: 0.81107, Ask: 0.81154, Spread: 47.00000000

2012.09.26 21:45


USDCHF, val2: 0.93975, val3: 0.93992, val4: 0.93962, val5: 0.93989, Bid: 0.94045, Ask: 0.94068, Spread: 23.00000000
GBPUSD, val2: 1.61693, val3: 1.61635, val4: 1.61728, val5: 1.61658, Bid: 1.61508, Ask: 1.61529, Spread: 21.00000000
EURUSD, val2: 1.28641, val3: 1.28612, val4: 1.28665, val5: 1.28616, Bid: 1.28551, Ask: 1.28570, Spread: 19.00000000
USDJPY, val2: 77.744, val3: 77.753, val4: 77.738, val5: 77.750, Bid: 77.751, Ask: 77.769, Spread: 18.00000000
USDCAD, val2: 0.98233, val3: 0.98296, val4: 0.98199, val5: 0.98268, Bid: 0.98447, Ask: 0.98469, Spread: 22.00000000
AUDUSD, val2: 1.03573, val3: 1.03570, val4: 1.03580, val5: 1.03565, Bid: 1.03582, Ask: 1.03602, Spread: 20.00000000
EURAUD, val2: 1.24189, val3: 1.24165, val4: 1.24202, val5: 1.24176, Bid: 1.24087, Ask: 1.24122, Spread: 35.00000000
EURJPY, val2: 100.010, val3: 100.000, val4: 100.021, val5: 99.999, Bid: 99.955, Ask: 99.982, Spread: 27.00000000
GBPCHF, val2: 1.51957, val3: 1.51931, val4: 1.51968, val5: 1.51947, Bid: 1.51894, Ask: 1.51939, Spread: 45.00000000
CADJPY, val2: 79.129, val3: 79.089, val4: 79.150, val5: 79.108, Bid: 78.962, Ask: 78.990, Spread: 28.00000000
GBPJPY, val2: 125.706, val3: 125.677, val4: 125.722, val5: 125.689, Bid: 125.585, Ask: 125.615, Spread: 30.00000000
AUDCAD, val2: 1.01747, val3: 1.01807, val4: 1.01719, val5: 1.01774, Bid: 1.01978, Ask: 1.02016, Spread: 38.00000000
AUDCHF, val2: 0.97336, val3: 0.97350, val4: 0.97330, val5: 0.97343, Bid: 0.97418, Ask: 0.97452, Spread: 34.00000000
AUDJPY, val2: 80.520, val3: 80.528, val4: 80.519, val5: 80.521, Bid: 80.536, Ask: 80.569, Spread: 33.00000000
CHFJPY, val2: 82.715, val3: 82.711, val4: 82.720, val5: 82.710, Bid: 82.657, Ask: 82.688, Spread: 31.00000000
EURNZD, val2: 1.56715, val3: 1.56553, val4: 1.56786, val5: 1.56644, Bid: 1.55956, Ask: 1.56004, Spread: 48.00000000
EURCAD, val2: 1.26370, val3: 1.26422, val4: 1.26349, val5: 1.26390, Bid: 1.26566, Ask: 1.26600, Spread: 34.00000000
NZDJPY, val2: 63.803, val3: 63.864, val4: 63.780, val5: 63.826, Bid: 64.074, Ask: 64.106, Spread: 32.00000000
NZDUSD, val2: 0.82070, val3: 0.82138, val4: 0.82047, val5: 0.82093, Bid: 0.82405, Ask: 0.82436, Spread: 31.00000000
GBPCAD, val2: 1.58841, val3: 1.58882, val4: 1.58822, val5: 1.58860, Bid: 1.59006, Ask: 1.59054, Spread: 48.00000000
GBPNZD, val2: 1.96974, val3: 1.96745, val4: 1.97071, val5: 1.96878, Bid: 1.95936, Ask: 1.96014, Spread: 78.00000000
GBPAUD, val2: 1.56104, val3: 1.56049, val4: 1.56128, val5: 1.56080, Bid: 1.55896, Ask: 1.55939, Spread: 43.00000000
NZDCHF, val2: 0.77127, val3: 0.77205, val4: 0.77095, val5: 0.77160, Bid: 0.77500, Ask: 0.77541, Spread: 41.00000000
NZDCAD, val2: 0.80618, val3: 0.80735, val4: 0.80568, val5: 0.80668, Bid: 0.81126, Ask: 0.81174, Spread: 48.00000000

2012.09.26 21:53


USDCHF, val2: 0.93975, val3: 0.93992, val4: 0.93962, val5: 0.93989, Bid: 0.94046, Ask: 0.94069, Spread: 23.00000000
GBPUSD, val2: 1.61693, val3: 1.61635, val4: 1.61728, val5: 1.61658, Bid: 1.61493, Ask: 1.61517, Spread: 24.00000000
EURUSD, val2: 1.28641, val3: 1.28612, val4: 1.28665, val5: 1.28616, Bid: 1.28568, Ask: 1.28586, Spread: 18.00000000
USDJPY, val2: 77.744, val3: 77.753, val4: 77.738, val5: 77.750, Bid: 77.738, Ask: 77.758, Spread: 20.00000000
USDCAD, val2: 0.98233, val3: 0.98296, val4: 0.98199, val5: 0.98268, Bid: 0.98451, Ask: 0.98473, Spread: 22.00000000
AUDUSD, val2: 1.03573, val3: 1.03570, val4: 1.03580, val5: 1.03565, Bid: 1.03570, Ask: 1.03591, Spread: 21.00000000
EURAUD, val2: 1.24189, val3: 1.24165, val4: 1.24202, val5: 1.24176, Bid: 1.24114, Ask: 1.24151, Spread: 37.00000000
EURJPY, val2: 100.010, val3: 100.000, val4: 100.021, val5: 99.999, Bid: 99.953, Ask: 99.979, Spread: 26.00000000
GBPCHF, val2: 1.51957, val3: 1.51931, val4: 1.51968, val5: 1.51947, Bid: 1.51884, Ask: 1.51928, Spread: 44.00000000
CADJPY, val2: 79.129, val3: 79.089, val4: 79.150, val5: 79.108, Bid: 78.946, Ask: 78.974, Spread: 28.00000000
GBPJPY, val2: 125.706, val3: 125.677, val4: 125.722, val5: 125.689, Bid: 125.550, Ask: 125.583, Spread: 33.00000000
AUDCAD, val2: 1.01747, val3: 1.01807, val4: 1.01719, val5: 1.01774, Bid: 1.01971, Ask: 1.02003, Spread: 32.00000000
AUDCHF, val2: 0.97336, val3: 0.97350, val4: 0.97330, val5: 0.97343, Bid: 0.97405, Ask: 0.97443, Spread: 38.00000000
AUDJPY, val2: 80.520, val3: 80.528, val4: 80.519, val5: 80.521, Bid: 80.515, Ask: 80.549, Spread: 34.00000000
CHFJPY, val2: 82.715, val3: 82.711, val4: 82.720, val5: 82.710, Bid: 82.645, Ask: 82.674, Spread: 29.00000000
EURNZD, val2: 1.56715, val3: 1.56553, val4: 1.56786, val5: 1.56644, Bid: 1.55952, Ask: 1.56004, Spread: 52.00000000
EURCAD, val2: 1.26370, val3: 1.26422, val4: 1.26349, val5: 1.26390, Bid: 1.26586, Ask: 1.26620, Spread: 34.00000000
NZDJPY, val2: 63.803, val3: 63.864, val4: 63.780, val5: 63.826, Bid: 64.073, Ask: 64.107, Spread: 34.00000000
NZDUSD, val2: 0.82070, val3: 0.82138, val4: 0.82047, val5: 0.82093, Bid: 0.82416, Ask: 0.82448, Spread: 32.00000000
GBPCAD, val2: 1.58841, val3: 1.58882, val4: 1.58822, val5: 1.58860, Bid: 1.59002, Ask: 1.59051, Spread: 49.00000000
GBPNZD, val2: 1.96974, val3: 1.96745, val4: 1.97071, val5: 1.96878, Bid: 1.95886, Ask: 1.95960, Spread: 74.00000000
GBPAUD, val2: 1.56104, val3: 1.56049, val4: 1.56128, val5: 1.56080, Bid: 1.55900, Ask: 1.55949, Spread: 49.00000000
NZDCHF, val2: 0.77127, val3: 0.77205, val4: 0.77095, val5: 0.77160, Bid: 0.77513, Ask: 0.77553, Spread: 40.00000000
NZDCAD, val2: 0.80618, val3: 0.80735, val4: 0.80568, val5: 0.80668, Bid: 0.81144, Ask: 0.81184, Spread: 40.00000000

2012.09.26 21:55


USDCHF, val2: 0.93975, val3: 0.93992, val4: 0.93962, val5: 0.93989, Bid: 0.94041, Ask: 0.94064, Spread: 23.00000000
GBPUSD, val2: 1.61693, val3: 1.61635, val4: 1.61728, val5: 1.61658, Bid: 1.61499, Ask: 1.61523, Spread: 24.00000000
EURUSD, val2: 1.28641, val3: 1.28612, val4: 1.28665, val5: 1.28616, Bid: 1.28573, Ask: 1.28592, Spread: 19.00000000
USDJPY, val2: 77.744, val3: 77.753, val4: 77.738, val5: 77.750, Bid: 77.740, Ask: 77.759, Spread: 19.00000000
USDCAD, val2: 0.98233, val3: 0.98296, val4: 0.98199, val5: 0.98268, Bid: 0.98449, Ask: 0.98473, Spread: 24.00000000
AUDUSD, val2: 1.03573, val3: 1.03570, val4: 1.03580, val5: 1.03565, Bid: 1.03550, Ask: 1.03573, Spread: 23.00000000
EURAUD, val2: 1.24189, val3: 1.24165, val4: 1.24202, val5: 1.24176, Bid: 1.24143, Ask: 1.24180, Spread: 37.00000000
EURJPY, val2: 100.010, val3: 100.000, val4: 100.021, val5: 99.999, Bid: 99.958, Ask: 99.982, Spread: 24.00000000
GBPCHF, val2: 1.51957, val3: 1.51931, val4: 1.51968, val5: 1.51947, Bid: 1.51882, Ask: 1.51925, Spread: 43.00000000
CADJPY, val2: 79.129, val3: 79.089, val4: 79.150, val5: 79.108, Bid: 78.948, Ask: 78.976, Spread: 28.00000000
GBPJPY, val2: 125.706, val3: 125.677, val4: 125.722, val5: 125.689, Bid: 125.557, Ask: 125.592, Spread: 35.00000000
AUDCAD, val2: 1.01747, val3: 1.01807, val4: 1.01719, val5: 1.01774, Bid: 1.01950, Ask: 1.01988, Spread: 38.00000000
AUDCHF, val2: 0.97336, val3: 0.97350, val4: 0.97330, val5: 0.97343, Bid: 0.97378, Ask: 0.97419, Spread: 41.00000000
AUDJPY, val2: 80.520, val3: 80.528, val4: 80.519, val5: 80.521, Bid: 80.504, Ask: 80.536, Spread: 32.00000000
CHFJPY, val2: 82.715, val3: 82.711, val4: 82.720, val5: 82.710, Bid: 82.655, Ask: 82.685, Spread: 30.00000000
EURNZD, val2: 1.56715, val3: 1.56553, val4: 1.56786, val5: 1.56644, Bid: 1.55981, Ask: 1.56037, Spread: 56.00000000
EURCAD, val2: 1.26370, val3: 1.26422, val4: 1.26349, val5: 1.26390, Bid: 1.26590, Ask: 1.26625, Spread: 35.00000000
NZDJPY, val2: 63.803, val3: 63.864, val4: 63.780, val5: 63.826, Bid: 64.063, Ask: 64.096, Spread: 33.00000000
NZDUSD, val2: 0.82070, val3: 0.82138, val4: 0.82047, val5: 0.82093, Bid: 0.82406, Ask: 0.82437, Spread: 31.00000000
GBPCAD, val2: 1.58841, val3: 1.58882, val4: 1.58822, val5: 1.58860, Bid: 1.59024, Ask: 1.59060, Spread: 36.00000000
GBPNZD, val2: 1.96974, val3: 1.96745, val4: 1.97071, val5: 1.96878, Bid: 1.95936, Ask: 1.96004, Spread: 68.00000000
GBPAUD, val2: 1.56104, val3: 1.56049, val4: 1.56128, val5: 1.56080, Bid: 1.55945, Ask: 1.55987, Spread: 42.00000000
NZDCHF, val2: 0.77127, val3: 0.77205, val4: 0.77095, val5: 0.77160, Bid: 0.77494, Ask: 0.77533, Spread: 39.00000000
NZDCAD, val2: 0.80618, val3: 0.80735, val4: 0.80568, val5: 0.80668, Bid: 0.81127, Ask: 0.81174, Spread: 47.00000000

2012.09.26 22:00


USDCHF, val2: 0.93984, val3: 0.93994, val4: 0.93975, val5: 0.93992, Bid: 0.93965, Ask: 0.93983, Spread: 18.00000000
GBPUSD, val2: 1.61664, val3: 1.61616, val4: 1.61693, val5: 1.61635, Bid: 1.61524, Ask: 1.61542, Spread: 18.00000000
EURUSD, val2: 1.28626, val3: 1.28606, val4: 1.28641, val5: 1.28612, Bid: 1.28584, Ask: 1.28603, Spread: 19.00000000
USDJPY, val2: 77.748, val3: 77.752, val4: 77.744, val5: 77.753, Bid: 77.723, Ask: 77.741, Spread: 18.00000000
USDCAD, val2: 0.98265, val3: 0.98327, val4: 0.98233, val5: 0.98296, Bid: 0.98453, Ask: 0.98475, Spread: 22.00000000
AUDUSD, val2: 1.03571, val3: 1.03568, val4: 1.03573, val5: 1.03570, Bid: 1.03551, Ask: 1.03571, Spread: 20.00000000
EURAUD, val2: 1.24177, val3: 1.24161, val4: 1.24189, val5: 1.24165, Bid: 1.24154, Ask: 1.24189, Spread: 35.00000000
EURJPY, val2: 100.005, val3: 99.995, val4: 100.010, val5: 100.000, Bid: 99.946, Ask: 99.970, Spread: 24.00000000
GBPCHF, val2: 1.51944, val3: 1.51916, val4: 1.51957, val5: 1.51931, Bid: 1.51788, Ask: 1.51819, Spread: 31.00000000
CADJPY, val2: 79.109, val3: 79.065, val4: 79.129, val5: 79.089, Bid: 78.928, Ask: 78.955, Spread: 27.00000000
GBPJPY, val2: 125.691, val3: 125.660, val4: 125.706, val5: 125.677, Bid: 125.549, Ask: 125.583, Spread: 34.00000000
AUDCAD, val2: 1.01777, val3: 1.01836, val4: 1.01747, val5: 1.01807, Bid: 1.01954, Ask: 1.01993, Spread: 39.00000000
AUDCHF, val2: 0.97343, val3: 0.97352, val4: 0.97336, val5: 0.97350, Bid: 0.97306, Ask: 0.97343, Spread: 37.00000000
AUDJPY, val2: 80.524, val3: 80.526, val4: 80.520, val5: 80.528, Bid: 80.484, Ask: 80.516, Spread: 32.00000000
CHFJPY, val2: 82.713, val3: 82.709, val4: 82.715, val5: 82.711, Bid: 82.699, Ask: 82.728, Spread: 29.00000000
EURNZD, val2: 1.56634, val3: 1.56473, val4: 1.56715, val5: 1.56553, Bid: 1.56034, Ask: 1.56089, Spread: 55.00000000
EURCAD, val2: 1.26396, val3: 1.26455, val4: 1.26370, val5: 1.26422, Bid: 1.26604, Ask: 1.26639, Spread: 35.00000000
NZDJPY, val2: 63.833, val3: 63.893, val4: 63.803, val5: 63.864, Bid: 64.034, Ask: 64.067, Spread: 33.00000000
NZDUSD, val2: 0.82104, val3: 0.82177, val4: 0.82070, val5: 0.82138, Bid: 0.82385, Ask: 0.82418, Spread: 33.00000000
GBPCAD, val2: 1.58862, val3: 1.58911, val4: 1.58841, val5: 1.58882, Bid: 1.59039, Ask: 1.59082, Spread: 43.00000000
GBPNZD, val2: 1.96860, val3: 1.96629, val4: 1.96974, val5: 1.96745, Bid: 1.95998, Ask: 1.96079, Spread: 81.00000000
GBPAUD, val2: 1.56076, val3: 1.56032, val4: 1.56104, val5: 1.56049, Bid: 1.55960, Ask: 1.56007, Spread: 47.00000000
NZDCHF, val2: 0.77166, val3: 0.77243, val4: 0.77127, val5: 0.77205, Bid: 0.77415, Ask: 0.77453, Spread: 38.00000000
NZDCAD, val2: 0.80677, val3: 0.80797, val4: 0.80618, val5: 0.80735, Bid: 0.81116, Ask: 0.81162, Spread: 46.00000000

2012.09.26 22:05


USDCHF, val2: 0.93984, val3: 0.93994, val4: 0.93975, val5: 0.93992, Bid: 0.93989, Ask: 0.94014, Spread: 25.00000000
GBPUSD, val2: 1.61664, val3: 1.61616, val4: 1.61693, val5: 1.61635, Bid: 1.61513, Ask: 1.61537, Spread: 24.00000000
EURUSD, val2: 1.28626, val3: 1.28606, val4: 1.28641, val5: 1.28612, Bid: 1.28567, Ask: 1.28587, Spread: 20.00000000
USDJPY, val2: 77.748, val3: 77.752, val4: 77.744, val5: 77.753, Bid: 77.721, Ask: 77.740, Spread: 19.00000000
USDCAD, val2: 0.98265, val3: 0.98327, val4: 0.98233, val5: 0.98296, Bid: 0.98480, Ask: 0.98504, Spread: 24.00000000
AUDUSD, val2: 1.03571, val3: 1.03568, val4: 1.03573, val5: 1.03570, Bid: 1.03525, Ask: 1.03545, Spread: 20.00000000
EURAUD, val2: 1.24177, val3: 1.24161, val4: 1.24189, val5: 1.24165, Bid: 1.24171, Ask: 1.24207, Spread: 36.00000000
EURJPY, val2: 100.005, val3: 99.995, val4: 100.010, val5: 100.000, Bid: 99.930, Ask: 99.957, Spread: 27.00000000
GBPCHF, val2: 1.51944, val3: 1.51916, val4: 1.51957, val5: 1.51931, Bid: 1.51815, Ask: 1.51859, Spread: 44.00000000
CADJPY, val2: 79.109, val3: 79.065, val4: 79.129, val5: 79.089, Bid: 78.905, Ask: 78.930, Spread: 25.00000000
GBPJPY, val2: 125.691, val3: 125.660, val4: 125.706, val5: 125.677, Bid: 125.535, Ask: 125.571, Spread: 36.00000000
AUDCAD, val2: 1.01777, val3: 1.01836, val4: 1.01747, val5: 1.01807, Bid: 1.01957, Ask: 1.01996, Spread: 39.00000000
AUDCHF, val2: 0.97343, val3: 0.97352, val4: 0.97336, val5: 0.97350, Bid: 0.97308, Ask: 0.97345, Spread: 37.00000000
AUDJPY, val2: 80.524, val3: 80.526, val4: 80.520, val5: 80.528, Bid: 80.461, Ask: 80.495, Spread: 34.00000000
CHFJPY, val2: 82.713, val3: 82.709, val4: 82.715, val5: 82.711, Bid: 82.676, Ask: 82.707, Spread: 31.00000000
EURNZD, val2: 1.56634, val3: 1.56473, val4: 1.56715, val5: 1.56553, Bid: 1.56034, Ask: 1.56092, Spread: 58.00000000
EURCAD, val2: 1.26396, val3: 1.26455, val4: 1.26370, val5: 1.26422, Bid: 1.26625, Ask: 1.26661, Spread: 36.00000000
NZDJPY, val2: 63.833, val3: 63.893, val4: 63.803, val5: 63.864, Bid: 64.026, Ask: 64.060, Spread: 34.00000000
NZDUSD, val2: 0.82104, val3: 0.82177, val4: 0.82070, val5: 0.82138, Bid: 0.82375, Ask: 0.82408, Spread: 33.00000000
GBPCAD, val2: 1.58862, val3: 1.58911, val4: 1.58841, val5: 1.58882, Bid: 1.59071, Ask: 1.59117, Spread: 46.00000000
GBPNZD, val2: 1.96860, val3: 1.96629, val4: 1.96974, val5: 1.96745, Bid: 1.96003, Ask: 1.96091, Spread: 88.00000000
GBPAUD, val2: 1.56076, val3: 1.56032, val4: 1.56104, val5: 1.56049, Bid: 1.55987, Ask: 1.56036, Spread: 49.00000000
NZDCHF, val2: 0.77166, val3: 0.77243, val4: 0.77127, val5: 0.77205, Bid: 0.77421, Ask: 0.77463, Spread: 42.00000000
NZDCAD, val2: 0.80677, val3: 0.80797, val4: 0.80618, val5: 0.80735, Bid: 0.81123, Ask: 0.81169, Spread: 46.00000000

2012.09.26 22:10


USDCHF, val2: 0.93984, val3: 0.93994, val4: 0.93975, val5: 0.93992, Bid: 0.94010, Ask: 0.94034, Spread: 24.00000000
GBPUSD, val2: 1.61664, val3: 1.61616, val4: 1.61693, val5: 1.61635, Bid: 1.61533, Ask: 1.61557, Spread: 24.00000000
EURUSD, val2: 1.28626, val3: 1.28606, val4: 1.28641, val5: 1.28612, Bid: 1.28576, Ask: 1.28597, Spread: 21.00000000
USDJPY, val2: 77.748, val3: 77.752, val4: 77.744, val5: 77.753, Bid: 77.714, Ask: 77.733, Spread: 19.00000000
USDCAD, val2: 0.98265, val3: 0.98327, val4: 0.98233, val5: 0.98296, Bid: 0.98488, Ask: 0.98511, Spread: 23.00000000
AUDUSD, val2: 1.03571, val3: 1.03568, val4: 1.03573, val5: 1.03570, Bid: 1.03530, Ask: 1.03552, Spread: 22.00000000
EURAUD, val2: 1.24177, val3: 1.24161, val4: 1.24189, val5: 1.24165, Bid: 1.24170, Ask: 1.24207, Spread: 37.00000000
EURJPY, val2: 100.005, val3: 99.995, val4: 100.010, val5: 100.000, Bid: 99.928, Ask: 99.954, Spread: 26.00000000
GBPCHF, val2: 1.51944, val3: 1.51916, val4: 1.51957, val5: 1.51931, Bid: 1.51868, Ask: 1.51912, Spread: 44.00000000
CADJPY, val2: 79.109, val3: 79.065, val4: 79.129, val5: 79.089, Bid: 78.891, Ask: 78.919, Spread: 28.00000000
GBPJPY, val2: 125.691, val3: 125.660, val4: 125.706, val5: 125.677, Bid: 125.540, Ask: 125.576, Spread: 36.00000000
AUDCAD, val2: 1.01777, val3: 1.01836, val4: 1.01747, val5: 1.01807, Bid: 1.01971, Ask: 1.02008, Spread: 37.00000000
AUDCHF, val2: 0.97343, val3: 0.97352, val4: 0.97336, val5: 0.97350, Bid: 0.97334, Ask: 0.97370, Spread: 36.00000000
AUDJPY, val2: 80.524, val3: 80.526, val4: 80.520, val5: 80.528, Bid: 80.460, Ask: 80.493, Spread: 33.00000000
CHFJPY, val2: 82.713, val3: 82.709, val4: 82.715, val5: 82.711, Bid: 82.649, Ask: 82.680, Spread: 31.00000000
EURNZD, val2: 1.56634, val3: 1.56473, val4: 1.56715, val5: 1.56553, Bid: 1.56096, Ask: 1.56151, Spread: 55.00000000
EURCAD, val2: 1.26396, val3: 1.26455, val4: 1.26370, val5: 1.26422, Bid: 1.26642, Ask: 1.26678, Spread: 36.00000000
NZDJPY, val2: 63.833, val3: 63.893, val4: 63.803, val5: 63.864, Bid: 63.996, Ask: 64.030, Spread: 34.00000000
NZDUSD, val2: 0.82104, val3: 0.82177, val4: 0.82070, val5: 0.82138, Bid: 0.82349, Ask: 0.82379, Spread: 30.00000000
GBPCAD, val2: 1.58862, val3: 1.58911, val4: 1.58841, val5: 1.58882, Bid: 1.59102, Ask: 1.59146, Spread: 44.00000000
GBPNZD, val2: 1.96860, val3: 1.96629, val4: 1.96974, val5: 1.96745, Bid: 1.96090, Ask: 1.96182, Spread: 92.00000000
GBPAUD, val2: 1.56076, val3: 1.56032, val4: 1.56104, val5: 1.56049, Bid: 1.55997, Ask: 1.56047, Spread: 50.00000000
NZDCHF, val2: 0.77166, val3: 0.77243, val4: 0.77127, val5: 0.77205, Bid: 0.77422, Ask: 0.77453, Spread: 31.00000000
NZDCAD, val2: 0.80677, val3: 0.80797, val4: 0.80618, val5: 0.80735, Bid: 0.81106, Ask: 0.81158, Spread: 52.00000000

2012.09.26 22:15


USDCHF, val2: 0.93984, val3: 0.93994, val4: 0.93975, val5: 0.93992, Bid: 0.93989, Ask: 0.94013, Spread: 24.00000000
GBPUSD, val2: 1.61664, val3: 1.61616, val4: 1.61693, val5: 1.61635, Bid: 1.61533, Ask: 1.61558, Spread: 25.00000000
EURUSD, val2: 1.28626, val3: 1.28606, val4: 1.28641, val5: 1.28612, Bid: 1.28577, Ask: 1.28595, Spread: 18.00000000
USDJPY, val2: 77.748, val3: 77.752, val4: 77.744, val5: 77.753, Bid: 77.722, Ask: 77.741, Spread: 19.00000000
USDCAD, val2: 0.98265, val3: 0.98327, val4: 0.98233, val5: 0.98296, Bid: 0.98482, Ask: 0.98505, Spread: 23.00000000
AUDUSD, val2: 1.03571, val3: 1.03568, val4: 1.03573, val5: 1.03570, Bid: 1.03522, Ask: 1.03541, Spread: 19.00000000
EURAUD, val2: 1.24177, val3: 1.24161, val4: 1.24189, val5: 1.24165, Bid: 1.24185, Ask: 1.24221, Spread: 36.00000000
EURJPY, val2: 100.005, val3: 99.995, val4: 100.010, val5: 100.000, Bid: 99.939, Ask: 99.966, Spread: 27.00000000
GBPCHF, val2: 1.51944, val3: 1.51916, val4: 1.51957, val5: 1.51931, Bid: 1.51833, Ask: 1.51874, Spread: 41.00000000
CADJPY, val2: 79.109, val3: 79.065, val4: 79.129, val5: 79.089, Bid: 78.907, Ask: 78.930, Spread: 23.00000000
GBPJPY, val2: 125.691, val3: 125.660, val4: 125.706, val5: 125.677, Bid: 125.553, Ask: 125.589, Spread: 36.00000000
AUDCAD, val2: 1.01777, val3: 1.01836, val4: 1.01747, val5: 1.01807, Bid: 1.01953, Ask: 1.01992, Spread: 39.00000000
AUDCHF, val2: 0.97343, val3: 0.97352, val4: 0.97336, val5: 0.97350, Bid: 0.97301, Ask: 0.97341, Spread: 40.00000000
AUDJPY, val2: 80.524, val3: 80.526, val4: 80.520, val5: 80.528, Bid: 80.459, Ask: 80.493, Spread: 34.00000000
CHFJPY, val2: 82.713, val3: 82.709, val4: 82.715, val5: 82.711, Bid: 82.678, Ask: 82.709, Spread: 31.00000000
EURNZD, val2: 1.56634, val3: 1.56473, val4: 1.56715, val5: 1.56553, Bid: 1.56113, Ask: 1.56171, Spread: 58.00000000
EURCAD, val2: 1.26396, val3: 1.26455, val4: 1.26370, val5: 1.26422, Bid: 1.26634, Ask: 1.26670, Spread: 36.00000000
NZDJPY, val2: 63.833, val3: 63.893, val4: 63.803, val5: 63.864, Bid: 63.998, Ask: 64.033, Spread: 35.00000000
NZDUSD, val2: 0.82104, val3: 0.82177, val4: 0.82070, val5: 0.82138, Bid: 0.82339, Ask: 0.82372, Spread: 33.00000000
GBPCAD, val2: 1.58862, val3: 1.58911, val4: 1.58841, val5: 1.58882, Bid: 1.59088, Ask: 1.59136, Spread: 48.00000000
GBPNZD, val2: 1.96860, val3: 1.96629, val4: 1.96974, val5: 1.96745, Bid: 1.96110, Ask: 1.96200, Spread: 90.00000000
GBPAUD, val2: 1.56076, val3: 1.56032, val4: 1.56104, val5: 1.56049, Bid: 1.56012, Ask: 1.56059, Spread: 47.00000000
